inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
5926640422,0,-1,"/home/dsimsb/groups/dcback","",0,10,76,59,64,4,"0040770",1589900983,1589900983,1589900983,2,352
5924476017,5926640422,0,"/home/dsimsb/groups/dcback/acc.research.computing","",0,10,176,59,64,9,"0040770",1691726115,1691726115,1691726115,7,252
5925796238,5924476017,1,"/home/dsimsb/groups/dcback/acc.research.computing/Friday","",0,10,36,59,64,3,"0040770",1728034213,1728034213,1728034213,1,75
5925722287,5924476017,1,"/home/dsimsb/groups/dcback/acc.research.computing/Thursday","",0,10,36,59,64,3,"0040770",1689844520,1689844520,1689844520,1,25
5925796237,5924476017,1,"/home/dsimsb/groups/dcback/acc.research.computing/Wednesday","",0,10,36,59,64,3,"0040770",1689758118,1689758118,1689758118,1,25
5925722286,5924476017,1,"/home/dsimsb/groups/dcback/acc.research.computing/Tuesday","",0,10,36,59,64,3,"0040770",1689671718,1689671718,1689671718,1,25
5925722288,5924476017,1,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday","",0,10,36,59,64,3,"0040770",1689412521,1689412521,1689412521,1,25
5925722285,5924476017,1,"/home/dsimsb/groups/dcback/acc.research.computing/Sunday","",0,10,36,59,64,3,"0040770",1689498920,1689498920,1689498920,1,25
5925796236,5924476017,1,"/home/dsimsb/groups/dcback/acc.research.computing/Monday","",0,10,36,59,64,3,"0040770",1689585336,1689585336,1689585336,1,25
5938225931,5925796237,2,"/home/dsimsb/groups/dcback/acc.research.computing/Wednesday/WindowsImageBackup","",65534,65534,25,59,64,3,"0040770",1589966139,1589966139,1589966139,1,126
5965283621,5925722285,2,"/home/dsimsb/groups/dcback/acc.research.computing/Sunday/WindowsImageBackup","",65534,65534,25,59,64,3,"0040770",1590311739,1590311739,1590311739,1,126
5928380452,5925722288,2,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup","",65534,65534,25,59,64,3,"0040770",1590225340,1590225340,1590225340,1,126
5965480892,5925722286,2,"/home/dsimsb/groups/dcback/acc.research.computing/Tuesday/WindowsImageBackup","",65534,65534,25,59,64,3,"0040770",1590484539,1590484539,1590484539,1,126
5889307166,5925722287,2,"/home/dsimsb/groups/dcback/acc.research.computing/Thursday/WindowsImageBackup","",65534,65534,25,59,64,3,"0040770",1590052538,1590052538,1590052538,1,126
5935873409,5925796238,2,"/home/dsimsb/groups/dcback/acc.research.computing/Friday/WindowsImageBackup","",65534,65534,75,59,64,5,"0040770",1694165417,1694165417,1694165417,3,378
5958468916,5925796236,2,"/home/dsimsb/groups/dcback/acc.research.computing/Monday/WindowsImageBackup","",65534,65534,25,59,64,3,"0040770",1590398139,1590398139,1590398139,1,126
5965152834,5965152833,4,"/home/dsimsb/groups/dcback/acc.research.computing/Tuesday/WindowsImageBackup/tennant/MediaId","",65534,65534,16,59,96,1,"0100770",1590484539,1590484539,1590484539,-1,0
5965152833,5965480892,3,"/home/dsimsb/groups/dcback/acc.research.computing/Tuesday/WindowsImageBackup/tennant","",65534,65534,126,59,64,5,"0040770",1689671750,1689671750,1689671750,4,1701
5939830291,5939830290,4,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/MediaId","",65534,65534,16,59,96,1,"0100770",1590225340,1590225340,1590225341,-1,0
5939830290,5928380452,3,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant","",65534,65534,126,59,64,5,"0040770",1689412553,1689412553,1689412553,4,1701
5964956244,5964956243,4,"/home/dsimsb/groups/dcback/acc.research.computing/Sunday/WindowsImageBackup/tennant/MediaId","",65534,65534,16,59,96,1,"0100770",1590311739,1590311739,1590311739,-1,0
5964956243,5965283621,3,"/home/dsimsb/groups/dcback/acc.research.computing/Sunday/WindowsImageBackup/tennant","",65534,65534,126,59,64,5,"0040770",1689498952,1689498952,1689498952,4,1701
5889307167,5925335904,4,"/home/dsimsb/groups/dcback/acc.research.computing/Thursday/WindowsImageBackup/tennant/MediaId","",65534,65534,16,59,96,1,"0100770",1590052538,1590052538,1590052539,-1,0
5925335904,5889307166,3,"/home/dsimsb/groups/dcback/acc.research.computing/Thursday/WindowsImageBackup/tennant","",65534,65534,126,59,64,5,"0040770",1689844557,1689844557,1689844557,4,1701
5938225933,5938225932,4,"/home/dsimsb/groups/dcback/acc.research.computing/Wednesday/WindowsImageBackup/tennant/MediaId","",65534,65534,16,59,96,1,"0100770",1589966139,1589966139,1589966139,-1,0
5938225932,5938225931,3,"/home/dsimsb/groups/dcback/acc.research.computing/Wednesday/WindowsImageBackup/tennant","",65534,65534,126,59,64,5,"0040770",1689758151,1689758151,1689758151,4,1701
5958468918,5958468917,4,"/home/dsimsb/groups/dcback/acc.research.computing/Monday/WindowsImageBackup/tennant/MediaId","",65534,65534,16,59,96,1,"0100770",1590398139,1590398139,1590398139,-1,0
5958468917,5958468916,3,"/home/dsimsb/groups/dcback/acc.research.computing/Monday/WindowsImageBackup/tennant","",65534,65534,126,59,64,5,"0040770",1689585375,1689585375,1689585375,4,1701
5928479788,5926640422,0,"/home/dsimsb/groups/dcback/research.computing","",0,10,176,59,64,9,"0040770",1589962501,1589962501,1589962501,7,252
5928138608,5928138607,4,"/home/dsimsb/groups/dcback/acc.research.computing/Friday/WindowsImageBackup/tennant/MediaId","",65534,65534,16,59,96,1,"0100770",1590138939,1590138939,1590138940,-1,0
5928138607,5935873409,3,"/home/dsimsb/groups/dcback/acc.research.computing/Friday/WindowsImageBackup/tennant","",65534,65534,126,59,64,5,"0040770",1689326165,1689326165,1689326165,4,1701
5921566113,5939830290,4,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/SPPMetadataCache","",65534,65534,0,59,64,2,"0040770",1590227800,1590227800,1590227800,0,0
8171994592,5921566112,5,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Catalog/BackupGlobalCatalog","",65534,65534,1601068,59,3696,1,"0100770",1689413033,1689413033,1689413034,-1,0
8181797866,5921566112,5,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Catalog/GlobalCatalog","",65534,65534,1599912,59,3696,1,"0100770",1689413034,1689413034,1689413034,-1,0
5921566112,5939830290,4,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Catalog","",65534,65534,68,59,64,2,"0040770",1689413034,1689413034,1689413034,2,3200980
5965021768,5964956243,4,"/home/dsimsb/groups/dcback/acc.research.computing/Sunday/WindowsImageBackup/tennant/SPPMetadataCache","",65534,65534,0,59,64,2,"0040770",1590313577,1590313577,1590313577,0,0
5928136581,5938225932,4,"/home/dsimsb/groups/dcback/acc.research.computing/Wednesday/WindowsImageBackup/tennant/SPPMetadataCache","",65534,65534,0,59,64,2,"0040770",1589968120,1589968120,1589968120,0,0
8185250855,5965218529,5,"/home/dsimsb/groups/dcback/acc.research.computing/Tuesday/WindowsImageBackup/tennant/Catalog/BackupGlobalCatalog","",65534,65534,1603744,59,3696,1,"0100770",1689672291,1689672291,1689672294,-1,0
8171733265,5965218529,5,"/home/dsimsb/groups/dcback/acc.research.computing/Tuesday/WindowsImageBackup/tennant/Catalog/GlobalCatalog","",65534,65534,1602592,59,3696,1,"0100770",1689672294,1689672294,1689672294,-1,0
5965218529,5965152833,4,"/home/dsimsb/groups/dcback/acc.research.computing/Tuesday/WindowsImageBackup/tennant/Catalog","",65534,65534,68,59,64,2,"0040770",1689672294,1689672294,1689672294,2,3206336
8171994591,5911463221,5,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Backup 2023-07-15 091521/314aded5-2157-4365-b796-657601a01fd0_Components.xml","xml",65534,65534,12456,59,144,1,"0100770",1689413033,1689413033,1689413033,-1,0
8181797860,5911463221,5,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Backup 2023-07-15 091521/314aded5-2157-4365-b796-657601a01fd0_Writerbe000cbe-11fe-4426-9c58-531aa6355fc4.xml","xml",65534,65534,3982,59,48,1,"0100770",1689413030,1689413030,1689413030,-1,0
5938721759,5911463221,5,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Backup 2023-07-15 091521/ede77932-870a-11e5-80b4-806e6f6e6963.vhdx","vhdx",65534,65534,41041264640,59,89878656,1,"0100770",1689413034,1689413034,1689413034,-1,0
8171994589,5911463221,5,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Backup 2023-07-15 091521/314aded5-2157-4365-b796-657601a01fd0_RegistryExcludes.xml","xml",65534,65534,8572,59,144,1,"0100770",1689413030,1689413030,1689413030,-1,0
8171994588,5911463221,5,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Backup 2023-07-15 091521/314aded5-2157-4365-b796-657601a01fd0_Writer4969d978-be47-48b0-b100-f328f07ac1e0.xml","xml",65534,65534,1196,59,48,1,"0100770",1689413030,1689413030,1689413030,-1,0
5928380457,5911463221,5,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Backup 2023-07-15 091521/ede77931-870a-11e5-80b4-806e6f6e6963.vhdx","vhdx",65534,65534,316669952,59,798144,1,"0100770",1689413034,1689413034,1689413034,-1,0
8181797859,5911463221,5,"/home/dsimsb/groups/dcback/acc.research.computing/Saturday/WindowsImageBackup/tennant/Backup 2023-07-15 091521/314aded5-2157-4365-b796-657601a01fd0_Writerb2014c9e-8711-4c5c-a5a9-3cf384484757.xml","xml",65534,65534,1850,59,48,1,"0100770",1689413030,1689413030,1689413030,-1,0
