inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
6521507126,0,-1,"/home/dsimsb/groups/derm_image_data","",0,10,89,59,64,5,"0040770",1642022255,1642022255,1642022255,3,234
6775136052,6521507126,0,"/home/dsimsb/groups/derm_image_data/Raidshare2","",0,10,73,59,64,5,"0040770",1652128694,1652128694,1652128694,3,97
6785142382,6521507126,0,"/home/dsimsb/groups/derm_image_data/Raidshare3","",0,10,74,59,64,5,"0040770",1656368244,1656368244,1656368244,3,164
7701462134,6775136052,1,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTCX","",65534,100113,0,59,64,2,"0040770",1652128688,1652128688,1652128694,0,0
6775136050,6775136052,1,"/home/dsimsb/groups/derm_image_data/Raidshare2/Merlin","",65534,100113,53,59,64,4,"0040770",1652128705,1652128705,1652128705,2,44
6775136049,6775136052,1,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021","",65534,100113,44,59,64,4,"0040770",1652746239,1652746239,1652746239,2,100
7747815193,6785142382,1,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1","",65534,65534,66,59,64,5,"0040770",1706901349,1706901349,1706901349,3,220
7112870010,6785142382,1,"/home/dsimsb/groups/derm_image_data/Raidshare3/Merlin","",65534,65534,54,59,64,4,"0040770",1656368239,1656368239,1656368239,2,110
7159465989,6785142382,1,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021","",65534,65534,44,59,64,4,"0040770",1643404135,1643404135,1643404135,2,100
7398996244,7398996243,1,"/home/dsimsb/groups/derm_image_data/Procedure_Media/README.txt","txt",4261,65534,241,59,96,1,"0100770",1642022386,1642022386,1642022391,-1,0
7398996243,6521507126,0,"/home/dsimsb/groups/derm_image_data/Procedure_Media","",0,10,87,59,64,3,"0040770",1643223080,1643223080,1643223080,2,392
7685283017,6775136050,2,"/home/dsimsb/groups/derm_image_data/Raidshare2/Merlin/ThumbsX","",65534,65534,0,59,64,2,"0040770",1652128699,1652128699,1652128705,0,0
6775136051,6775136050,2,"/home/dsimsb/groups/derm_image_data/Raidshare2/Merlin/Thumbs2021","",65534,65534,44,59,64,4,"0040770",1652746236,1652746236,1652746236,2,100
7720477059,6775136049,2,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2022","",65534,65534,20,59,64,3,"0040770",1652746239,1652746239,1652746239,1,26
6767793645,6775136049,2,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2021","",65534,65534,80,59,64,6,"0040770",1638405017,1638405017,1638405017,4,104
8700671308,7747815193,2,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2024","",65534,65534,80,59,64,6,"0040770",1717806726,1717806726,1717806726,4,104
7950736901,7747815193,2,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023","",65534,65534,100,59,64,7,"0040770",1696023937,1696023937,1696023937,5,156
7086993247,7159465989,2,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021","",65534,65534,60,59,64,5,"0040770",1638400024,1638400024,1638400024,3,234
7112870022,7112870010,2,"/home/dsimsb/groups/derm_image_data/Raidshare3/Merlin/Thumbs2021","",65534,65534,44,59,64,4,"0040770",1643404130,1643404130,1643404130,2,100
7419816397,7159465989,2,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2022","",65534,65534,40,59,64,4,"0040770",1644005444,1644005444,1644005444,2,52
7950736902,7950736901,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023/01","",65534,65534,26,59,64,3,"0040770",1672964521,1672964521,1672964521,1,0
8012781809,7950736901,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023/02","",65534,65534,26,59,64,3,"0040770",1677200936,1677200936,1677200936,1,0
8299071670,7950736901,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023/09","",65534,65534,26,59,64,3,"0040770",1696023937,1696023937,1696023937,1,164
7738335305,7112870010,2,"/home/dsimsb/groups/derm_image_data/Raidshare3/Merlin/ThumbsX1","",65534,65534,66,59,64,5,"0040770",1706901342,1706901342,1706901342,3,220
7058803197,7720477059,3,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2022/05","",65534,65534,26,59,64,3,"0040770",1652746239,1652746239,1652746239,1,240
8088569187,7950736901,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023/05","",65534,65534,26,59,64,3,"0040770",1683239648,1683239648,1683239648,1,160
7736367280,7747815193,2,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2022","",65534,65534,40,59,64,4,"0040770",1667966039,1667966039,1667966039,2,494
6798781054,6767793645,3,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2021/08","",65534,65534,26,59,64,3,"0040770",1628887426,1628887426,1628887426,1,120
7301802252,6767793645,3,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2021/12","",65534,65534,26,59,64,3,"0040770",1638405017,1638405017,1638405017,1,360
7043292888,6767793645,3,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2021/10","",65534,65534,26,59,64,3,"0040770",1633047701,1633047701,1633047701,1,0
6900575141,6767793645,3,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2021/09","",65534,65534,26,59,64,3,"0040770",1630512275,1630512275,1630512275,1,40
8942104486,8700671308,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2024/06","",65534,65534,26,59,64,3,"0040770",1717806726,1717806726,1717806726,1,492
6798781052,6775136051,3,"/home/dsimsb/groups/derm_image_data/Raidshare2/Merlin/Thumbs2021/2021","",65534,65534,80,59,64,6,"0040770",1638405014,1638405014,1638405014,4,104
8766051033,8700671308,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2024/03","",65534,65534,26,59,64,3,"0040770",1710522688,1710522688,1710522688,1,123
7713821150,6775136051,3,"/home/dsimsb/groups/derm_image_data/Raidshare2/Merlin/Thumbs2021/2022","",65534,65534,20,59,64,3,"0040770",1652746236,1652746236,1652746236,1,26
8869344299,8700671308,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2024/05","",65534,65534,26,59,64,3,"0040770",1715366930,1715366930,1715366930,1,656
8700671309,8700671308,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2024/02","",65534,65534,26,59,64,3,"0040770",1706901349,1706901349,1706901349,1,574
7112870121,7086993247,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/10","",65534,65534,26,59,64,3,"0040770",1634345906,1634345906,1634345906,1,0
7247428911,7086993247,3,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/11","",65534,65534,26,59,64,3,"0040770",1637106242,1637106242,1637106242,1,0
8304288134,8304288129,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023/09/pdir0000/prd2_hi_j0492_17be.jpeg","jpeg",65534,65534,3071495,59,7072,1,"0100770",1696023905,1696023905,1696023954,-1,0
8299071675,8304288129,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023/09/pdir0000/prd2_hi_j0490_3ca5.jpeg","jpeg",65534,65534,3051963,59,7040,1,"0100770",1696023905,1696023905,1696023942,-1,0
8304288132,8304288129,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023/09/pdir0000/prd2_hi_j0491_5a4e.jpeg","jpeg",65534,65534,2632406,59,6224,1,"0100770",1696023905,1696023905,1696023946,-1,0
8304288130,8304288129,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023/09/pdir0000/prd2_hi_j0489_0737.jpeg","jpeg",65534,65534,434092,59,1408,1,"0100770",1696023905,1696023905,1696023938,-1,0
8304288129,8299071670,4,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTCX1/2023/09/pdir0000","",65534,65534,164,59,64,2,"0040770",1696023953,1696023953,1696023953,4,9189956
7721257905,7426971176,5,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2022/05/pdir0000/68e6_hi_j0005_1047.jpg","jpg",65534,65534,77768,59,528,1,"0100770",1652746917,1652746917,1652746957,-1,0
7058803198,7426971176,5,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2022/05/pdir0000/509c_hi_j0002_54d9.jpg","jpg",65534,65534,310974,59,1168,1,"0100770",1652746072,1652746072,1652746239,-1,0
7694433601,7426971176,5,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2022/05/pdir0000/15bb_hi_j0004_1dc8.jpg","jpg",65534,65534,158112,59,880,1,"0100770",1652746633,1652746633,1652746669,-1,0
7058803199,7426971176,5,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2022/05/pdir0000/5652_hi_j0003_69bb.jpg","jpg",65534,65534,358721,59,1264,1,"0100770",1652746362,1652746362,1652746397,-1,0
7511840302,7426971176,5,"/home/dsimsb/groups/derm_image_data/Raidshare2/IPTC2021/2022/05/pdir0000/6582_hi_j0006_51f3.jpg","jpg",65534,65534,107574,59,720,1,"0100770",1652747548,1652747548,1652747589,-1,0
