inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
6588825339,5860889729,0,"/home/dsimsb/groups/RDNFTS/ZoomInstallerVDI.msi","msi",0,10,45529600,59,119008,1,"0100770",1622127720,1622127720,1622128255,-1,0
6551219095,5860889729,0,"/home/dsimsb/groups/RDNFTS/New Text Document.txt","txt",0,10,159,59,96,1,"0100770",1620399569,1620399569,1620399569,-1,0
6556814074,5860889729,0,"/home/dsimsb/groups/RDNFTS/webexplugin.msi","msi",0,10,28129280,59,62448,1,"0100770",1619211489,1619211489,1619212611,-1,0
5895662153,5860889729,0,"/home/dsimsb/groups/RDNFTS/.DS_Store","",0,10,6148,59,48,1,"0100770",1675466987,1675466987,1675466987,-1,0
6589588900,5860889729,0,"/home/dsimsb/groups/RDNFTS/VMware-Horizon-Agent-x86_64-7.13.1-18035779.exe","exe",0,10,260617944,59,575616,1,"0100770",1621978467,1621978467,1621978594,-1,0
6524866357,5860889729,0,"/home/dsimsb/groups/RDNFTS/Webex.msi","msi",0,10,204632064,59,451776,1,"0100770",1618857219,1618857219,1618857977,-1,0
6543887509,5860889729,0,"/home/dsimsb/groups/RDNFTS/Teams_windows_x64.msi","msi",0,10,111546368,59,246384,1,"0100770",1618866493,1618866493,1618866518,-1,0
6542144254,5860889729,0,"/home/dsimsb/groups/RDNFTS/webexapp.msi","msi",0,10,126893056,59,279936,1,"0100770",1619042349,1619042349,1619107537,-1,0
7981197436,5860889729,0,"/home/dsimsb/groups/RDNFTS/This is a test.docx","docx",0,10,11851,59,144,1,"0100770",1675467358,1675467358,1675467362,-1,0
8720989500,5860889729,0,"/home/dsimsb/groups/RDNFTS/New Bitmap Image.bmp","bmp",0,10,0,59,48,1,"0100770",1708138296,1708138296,1708138296,-1,0
7228903194,5860889729,0,"/home/dsimsb/groups/RDNFTS/Admin_Utilities-11.2.0.1.zip","zip",0,10,5192540,59,11728,1,"0100770",1636567796,1636567796,1636567837,-1,0
5860889729,0,-1,"/home/dsimsb/groups/RDNFTS","",0,10,561,59,64,7,"0040770",1708138296,1708138296,1708138296,16,782560290
6517595590,5860889729,0,"/home/dsimsb/groups/RDNFTS/2021_03_23_132628MHF","",0,10,39,59,64,3,"0040770",1616531156,1616531156,1616531156,1,199
6433650504,5860889729,0,"/home/dsimsb/groups/RDNFTS/Office","",0,10,110,59,64,5,"0040770",1675805590,1675805590,1675805590,3,1409
6536650315,5845903822,1,"/home/dsimsb/groups/RDNFTS/Tools/SDelete.zip","zip",65534,65534,532121,59,1600,1,"0100770",1716431238,1716431238,1716431238,-1,0
5893979191,5845903822,1,"/home/dsimsb/groups/RDNFTS/Tools/.DS_Store","",65534,65534,6148,59,96,1,"0100770",1587400400,1587400400,1587400400,-1,0
6360715455,5845903822,1,"/home/dsimsb/groups/RDNFTS/Tools/certinstall.zip","zip",65534,65534,1887,59,96,1,"0100770",1603131074,1603131074,1603131074,-1,0
5868885402,5845903822,1,"/home/dsimsb/groups/RDNFTS/Tools/8gbtest.txt","txt",65534,65534,8000000000,59,17621392,1,"0100770",1585326999,1585326999,1585327140,-1,0
5845903822,5860889729,0,"/home/dsimsb/groups/RDNFTS/Tools","",0,10,309,59,64,8,"0040770",1617821575,1617821575,1617821575,10,8000540614
6522622648,6517595591,2,"/home/dsimsb/groups/RDNFTS/2021_03_23_132628MHF/CHEMI_01062021_121557/CHEMI_01062021_121557.g2i","g2i",5597,65534,1137434,59,2784,1,"0100770",1616531156,1616531156,1616531156,-1,0
6517595592,6517595591,2,"/home/dsimsb/groups/RDNFTS/2021_03_23_132628MHF/CHEMI_01062021_121557/CHEMI_01062021_121557_(Chemi)_raw.tif","tif",5597,65534,730273,59,2000,1,"0100770",1616531156,1616531156,1616531156,-1,0
6522622647,6517595591,2,"/home/dsimsb/groups/RDNFTS/2021_03_23_132628MHF/CHEMI_01062021_121557/CHEMI_01062021_121557_(Membrane)_raw.tif","tif",5597,65534,730273,59,2000,1,"0100770",1616531156,1616531156,1616531156,-1,0
